aeropuerto,tipo,hora,lugar,aerolinea
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"
                        Partida
                    ","
                        Destino
                    ","
                    Transporte
                "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:05 AM
","
                            (MCO) Orlando
                        ","
                        Southwest Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:09 AM
","
                            (APF) Naples
                        ","
                        NetJets Aviation
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:20 AM
","
                            (DFW) Dallas
                        ","
                        American Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:20 AM
","
                            (DFW) Dallas
                        ","
                        British Airways
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:20 AM
","
                            (DFW) Dallas
                        ","
                        JAL
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:30 AM
","
                            (ATL) Atlanta
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:30 AM
","
                            (ATL) Atlanta
                        ","
                        Aeromexico
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:30 AM
","
                            (CLT) Charlotte
                        ","
                        American Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                9:55 AM
","
                            (TPA) Tampa
                        ","
                        Southwest Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                10:09 AM
","
                            (EKI) Elkhart
                        ","
                        NetJets Aviation
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                10:30 AM
","
                            (TEB) Teterboro
                        ","
                        Jet Aviation Flight Services
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:03 AM
","
                            (CLT) Charlotte
                        ","
                        American Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:15 AM
","
                            (IAH) Houston
                        ","
                        United Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:15 AM
","
                            (IAH) Houston
                        ","
                        Air Canada
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:15 AM
","
                            (IAH) Houston
                        ","
                        Copa Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:23 AM
","
                            (ATL) Atlanta
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:23 AM
","
                            (ATL) Atlanta
                        ","
                        Air France
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:23 AM
","
                            (ATL) Atlanta
                        ","
                        Aeromexico
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:23 AM
","
                            (ATL) Atlanta
                        ","
                        KLM
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:35 AM
","
                            (DTW) Detroit
                        ","
                        Delta Air Lines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:35 AM
","
                            (DTW) Detroit
                        ","
                        Air France
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:35 AM
","
                            (DTW) Detroit
                        ","
                        KLM
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:35 AM
","
                            (DTW) Detroit
                        ","
                        Virgin Atlantic
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,llegada,"

                                                                11:45 AM
","
                            (PHL) Philadelphia
                        ","
                        American Airlines
                    "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,salida,"
                        llegada
                    ","
                        Origen
                    ","
                    Transporte
                "
https://www.aeropuertos.net/aeropuerto-internacional-de-birmingham-shuttlesworth/,salida,"

                                                                9:25 AM
","
                            (MCO) Orlando
                        ","
                        Southwest Airlines
                    "
